source_id,original_source_id,target_class,source_path,source_kind,selection_origin,source_name,ranking_index,similarity_label,frac_inside_selected_icbhi_p95,median_centroid_dist,file_type,location,condition_group,has_any_adventitious,has_wheeze,has_rhonchi,has_stridor,has_crackle,selected_id,split,output_file,output_path,fixed_rms_after_write,was_repeated_to_15s_after_write
LS_HFLUNG_trunc_2019-07-17-11-39-08-L8_2,trunc_2019-07-17-11-39-08-L8_2,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-17-11-39-08-L8_2.wav,ls,hflung_similarity_audit,trunc_2019-07-17-11-39-08-L8_2.wav,0,close_to_selected_ICBHI,1.0,1.031208909285808,trunc,L8,unknown,,,,,,1,val,ls_hflung_001_trunc_2019-07-17-11-39-08-L8_2.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_001_trunc_2019-07-17-11-39-08-L8_2.wav,0.031094230824199452,False
LS_HFLUNG_trunc_2019-05-28-15-15-48-L8_2,trunc_2019-05-28-15-15-48-L8_2,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-05-28-15-15-48-L8_2.wav,ls,hflung_similarity_audit,trunc_2019-05-28-15-15-48-L8_2.wav,1,close_to_selected_ICBHI,1.0,1.4850614449492223,trunc,L8,unknown,,,,,,2,val,ls_hflung_002_trunc_2019-05-28-15-15-48-L8_2.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_002_trunc_2019-05-28-15-15-48-L8_2.wav,0.017746505707077132,False
LS_HFLUNG_trunc_2019-07-31-11-20-43-L2_4,trunc_2019-07-31-11-20-43-L2_4,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-31-11-20-43-L2_4.wav,ls,hflung_similarity_audit,trunc_2019-07-31-11-20-43-L2_4.wav,2,close_to_selected_ICBHI,1.0,1.5956737734439028,trunc,L2,unknown,,,,,,3,val,ls_hflung_003_trunc_2019-07-31-11-20-43-L2_4.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_003_trunc_2019-07-31-11-20-43-L2_4.wav,0.02342095356027686,False
LS_HFLUNG_trunc_2019-07-16-10-41-27-L1_8,trunc_2019-07-16-10-41-27-L1_8,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-16-10-41-27-L1_8.wav,ls,hflung_similarity_audit,trunc_2019-07-16-10-41-27-L1_8.wav,3,close_to_selected_ICBHI,1.0,1.6910941239761432,trunc,L1,unknown,,,,,,4,val,ls_hflung_004_trunc_2019-07-16-10-41-27-L1_8.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_004_trunc_2019-07-16-10-41-27-L1_8.wav,0.16789371576878104,False
LS_HFLUNG_trunc_2019-07-16-10-41-27-L5_4,trunc_2019-07-16-10-41-27-L5_4,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-16-10-41-27-L5_4.wav,ls,hflung_similarity_audit,trunc_2019-07-16-10-41-27-L5_4.wav,5,close_to_selected_ICBHI,1.0,1.7811286363416574,trunc,L5,unknown,,,,,,5,val,ls_hflung_005_trunc_2019-07-16-10-41-27-L5_4.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_005_trunc_2019-07-16-10-41-27-L5_4.wav,0.19850227454847472,False
LS_HFLUNG_trunc_2019-06-13-11-32-14-L6_3,trunc_2019-06-13-11-32-14-L6_3,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-06-13-11-32-14-L6_3.wav,ls,hflung_similarity_audit,trunc_2019-06-13-11-32-14-L6_3.wav,9,close_to_selected_ICBHI,1.0,1.988770614724795,trunc,L6,unknown,,,,,,6,val,ls_hflung_006_trunc_2019-06-13-11-32-14-L6_3.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_006_trunc_2019-06-13-11-32-14-L6_3.wav,0.017011273309197154,False
LS_HFLUNG_trunc_2019-06-30-11-13-23-L8_5,trunc_2019-06-30-11-13-23-L8_5,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-06-30-11-13-23-L8_5.wav,ls,hflung_similarity_audit,trunc_2019-06-30-11-13-23-L8_5.wav,10,close_to_selected_ICBHI,1.0,1.993878133712567,trunc,L8,unknown,,,,,,7,val,ls_hflung_007_trunc_2019-06-30-11-13-23-L8_5.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_007_trunc_2019-06-30-11-13-23-L8_5.wav,0.04373233075909434,False
LS_HFLUNG_trunc_2019-07-28-11-08-24-L6_12,trunc_2019-07-28-11-08-24-L6_12,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-28-11-08-24-L6_12.wav,ls,hflung_similarity_audit,trunc_2019-07-28-11-08-24-L6_12.wav,11,close_to_selected_ICBHI,1.0,2.061446913686289,trunc,L6,unknown,,,,,,8,val,ls_hflung_008_trunc_2019-07-28-11-08-24-L6_12.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_008_trunc_2019-07-28-11-08-24-L6_12.wav,0.03074869021253255,False
LS_HFLUNG_trunc_2019-07-31-11-20-43-L6_11,trunc_2019-07-31-11-20-43-L6_11,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-31-11-20-43-L6_11.wav,ls,hflung_similarity_audit,trunc_2019-07-31-11-20-43-L6_11.wav,12,close_to_selected_ICBHI,1.0,2.0937529164213067,trunc,L6,unknown,,,,,,9,val,ls_hflung_009_trunc_2019-07-31-11-20-43-L6_11.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_009_trunc_2019-07-31-11-20-43-L6_11.wav,0.06643720708380384,False
LS_HFLUNG_trunc_2019-07-17-10-04-39-L8_9,trunc_2019-07-17-10-04-39-L8_9,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-17-10-04-39-L8_9.wav,ls,hflung_similarity_audit,trunc_2019-07-17-10-04-39-L8_9.wav,13,close_to_selected_ICBHI,1.0,2.096751863354062,trunc,L8,unknown,,,,,,10,val,ls_hflung_010_trunc_2019-07-17-10-04-39-L8_9.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_010_trunc_2019-07-17-10-04-39-L8_9.wav,0.01270490207621208,False
LS_HFLUNG_trunc_2019-07-31-09-49-13-L2_8,trunc_2019-07-31-09-49-13-L2_8,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-31-09-49-13-L2_8.wav,ls,hflung_similarity_audit,trunc_2019-07-31-09-49-13-L2_8.wav,14,close_to_selected_ICBHI,1.0,2.1108282965293204,trunc,L2,unknown,,,,,,11,val,ls_hflung_011_trunc_2019-07-31-09-49-13-L2_8.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_011_trunc_2019-07-31-09-49-13-L2_8.wav,0.025367407161507087,False
LS_HFLUNG_trunc_2019-05-28-15-15-48-L5_5,trunc_2019-05-28-15-15-48-L5_5,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-05-28-15-15-48-L5_5.wav,ls,hflung_similarity_audit,trunc_2019-05-28-15-15-48-L5_5.wav,15,close_to_selected_ICBHI,1.0,2.1296079874794365,trunc,L5,unknown,,,,,,12,val,ls_hflung_012_trunc_2019-05-28-15-15-48-L5_5.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_012_trunc_2019-05-28-15-15-48-L5_5.wav,0.05026596721594848,False
LS_HFLUNG_trunc_2019-06-13-11-32-14-L6_13,trunc_2019-06-13-11-32-14-L6_13,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-06-13-11-32-14-L6_13.wav,ls,hflung_similarity_audit,trunc_2019-06-13-11-32-14-L6_13.wav,16,close_to_selected_ICBHI,1.0,2.1359620117535005,trunc,L6,unknown,,,,,,13,val,ls_hflung_013_trunc_2019-06-13-11-32-14-L6_13.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_013_trunc_2019-06-13-11-32-14-L6_13.wav,0.021578289107517523,False
LS_HFLUNG_trunc_2019-05-28-15-15-48-L5_2,trunc_2019-05-28-15-15-48-L5_2,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-05-28-15-15-48-L5_2.wav,ls,hflung_similarity_audit,trunc_2019-05-28-15-15-48-L5_2.wav,17,close_to_selected_ICBHI,1.0,2.1815460222756764,trunc,L5,unknown,,,,,,14,val,ls_hflung_014_trunc_2019-05-28-15-15-48-L5_2.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_014_trunc_2019-05-28-15-15-48-L5_2.wav,0.04504749971091192,False
LS_HFLUNG_trunc_2019-06-26-11-32-30-L8_12,trunc_2019-06-26-11-32-30-L8_12,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-06-26-11-32-30-L8_12.wav,ls,hflung_similarity_audit,trunc_2019-06-26-11-32-30-L8_12.wav,18,close_to_selected_ICBHI,1.0,2.2105958889665938,trunc,L8,unknown,,,,,,15,val,ls_hflung_015_trunc_2019-06-26-11-32-30-L8_12.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_015_trunc_2019-06-26-11-32-30-L8_12.wav,0.02780708279047219,False
LS_HFLUNG_trunc_2019-05-28-14-44-45-L6_14,trunc_2019-05-28-14-44-45-L6_14,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-05-28-14-44-45-L6_14.wav,ls,hflung_similarity_audit,trunc_2019-05-28-14-44-45-L6_14.wav,19,close_to_selected_ICBHI,1.0,2.2130488783801257,trunc,L6,unknown,,,,,,16,val,ls_hflung_016_trunc_2019-05-28-14-44-45-L6_14.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_016_trunc_2019-05-28-14-44-45-L6_14.wav,0.02411089702146719,False
LS_HFLUNG_trunc_2019-05-28-15-15-48-L6_2,trunc_2019-05-28-15-15-48-L6_2,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-05-28-15-15-48-L6_2.wav,ls,hflung_similarity_audit,trunc_2019-05-28-15-15-48-L6_2.wav,20,close_to_selected_ICBHI,1.0,2.2144380107132564,trunc,L6,unknown,,,,,,17,val,ls_hflung_017_trunc_2019-05-28-15-15-48-L6_2.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_017_trunc_2019-05-28-15-15-48-L6_2.wav,0.01269698793715991,False
LS_HFLUNG_trunc_2019-07-16-11-46-52-L5_11,trunc_2019-07-16-11-46-52-L5_11,hflung_selected,/nas/home/pcallandrone/DeepLearning/dataset/raw/HF_Lung_V1/extracted/train/train/trunc_2019-07-16-11-46-52-L5_11.wav,ls,hflung_similarity_audit,trunc_2019-07-16-11-46-52-L5_11.wav,21,close_to_selected_ICBHI,1.0,2.22473421221121,trunc,L5,unknown,,,,,,18,val,ls_hflung_018_trunc_2019-07-16-11-46-52-L5_11.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/LS_HFLUNG_SELECTED/ls_hflung_018_trunc_2019-07-16-11-46-52-L5_11.wav,0.12090051173977649,False
