selected_id,source_id,output_file,output_path,split,rank_in_selected,source_kind,source_path,selection_mode,quality_score,target_sr,target_duration_sec,was_repeated_to_15s,crop_start_sec,record_id,label_raw,label_name,source_db,orig_sr,orig_duration_sec,raw_rms,raw_peak,raw_clip_ratio,raw_dc_offset,fixed_rms,fixed_peak,fixed_clip_ratio,crest_factor_db,zero_ratio,seg_count,seg_rms_min,seg_rms_p10,seg_rms_median,seg_rms_cv,bad_segment_count,max_segment_clip_ratio,max_segment_peak,heart_band_ratio_20_500,low_drift_ratio_0_20,high_noise_ratio_700_1800,very_high_noise_ratio_1000_1800,spectral_centroid_hz,passes_hard_quality,quality_error,score_rms,score_seg_p10,score_heart_band,score_seg_stability,score_low_drift,score_high_noise,score_zero,score_clip,score_centroid,score_crest,rank_in_class,target_class,expB_group,cluster_id,cluster_acoustic_profile,fixed_rms_after_write,was_repeated_to_15s_after_write,drift_ratio_0_20,very_low_ratio_20_80,s1s2_low_ratio_20_150,cardiac_mid_ratio_150_500,murmur_like_ratio_200_600,high_cardiac_ratio_300_800,broadband_ratio_500_1000,hf_noise_ratio_700_1800,very_hf_noise_ratio_1000_1800,low_to_mid_ratio_db,high_to_heart_ratio_db,spectral_centroid_hz_ac,spectral_bandwidth_hz_ac,spectral_rolloff85_hz_ac,spectral_flatness_20_1800_ac,spectral_contrast_mean,spectral_contrast_std,zcr_mean,zcr_std,seg_rms_mean,seg_rms_std,seg_peak_max,seg_peak_median,env_period_sec,env_period_hz,env_autocorr_peak,env_autocorr_peak_norm,cluster_size,usable_for_5train_3val,rank_in_cluster_selection,expE_origin,source_path_norm,selection_reason,easy_rank_global,expG_origin,spectral_bandwidth_hz,spectral_rolloff85_hz,spectral_flatness_20_1800
1,HSN001,hs_expEbase_HSN001_001.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN001_001.wav,train,1.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01514.wav,normal_hard_quality_pool,0.7806635802469136,4000.0,15.0,False,0.0,e01514,-1,normal,training-e,2000.0,16.056,0.1642471053965209,0.900185763835907,0.0,0.000191894287127,0.1625946477659461,0.9018738269805908,0.0,14.880790755367936,0.1410666666666666,27.0,0.141916235287317,0.1481989578889302,0.1669181367889708,0.0585283902479957,0.0,0.0,0.9018738269805908,0.9935014826757644,0.006177214508015,0.00013144962004,4.4527971565389065e-15,40.51177215509688,True,,0.8574074074074074,0.8654320987654321,0.9709876543209875,0.841358024691358,0.9253086419753086,0.5879629629629629,0.3,0.5688271604938272,0.362962962962963,0.1459876543209876,1.0,normal,hs_normal,,normal,0.16259460049065316,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
2,HSN002,hs_expEbase_HSN002_002.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN002_002.wav,train,2.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00933.wav,normal_hard_quality_pool,0.7728641975308643,4000.0,15.0,False,0.0,e00933,-1,normal,training-e,2000.0,16.634,0.1611174670845422,0.8773936033248901,0.0,0.0001353146508336,0.1612618273549603,0.8786342144012451,0.0,14.725530677258387,0.1370333333333333,27.0,0.1392351802263701,0.1421664169135905,0.1636190319531446,0.0622281101281344,0.0,0.0,0.8786342144012451,0.9935282740842648,0.0061365337068829,0.0001407384609171,4.627655035237414e-15,40.941415295322045,True,,0.8533950617283951,0.8570987654320987,0.971604938271605,0.8012345679012346,0.9265432098765432,0.571604938271605,0.3123456790123456,0.5688271604938272,0.3712962962962963,0.1407407407407407,2.0,normal,hs_normal,,normal,0.1612617853767701,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
3,HSN003,hs_expEbase_HSN003_003.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN003_003.wav,train,4.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00850.wav,normal_hard_quality_pool,0.7709814814814814,4000.0,15.0,False,0.0,e00850,-1,normal,training-e,2000.0,23.695,0.1851667663762841,0.902368187904358,0.0,0.0134827177971601,0.1853738044203497,0.903020203113556,0.0,13.752982070918003,0.0421666666666666,27.0,0.1657636787550998,0.1706891837033108,0.1854956428263976,0.0592272603596647,0.0,0.0,0.903020203113556,0.9914247289793382,0.0066621152778726,0.0010493155825347,3.903883939783483e-15,43.28872365433383,True,,0.899074074074074,0.9111111111111112,0.9416666666666668,0.8342592592592593,0.9182098765432098,0.1935185185185185,0.7819444444444444,0.5688271604938272,0.4172839506172839,0.0987654320987654,4.0,normal,hs_normal,,normal,0.18537378769972654,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
4,HSN004,hs_expEbase_HSN004_004.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN004_004.wav,train,5.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00559.wav,normal_hard_quality_pool,0.7679475308641974,4000.0,15.0,False,0.0,e00559,-1,normal,training-e,2000.0,19.37,0.1729434972938125,0.9504960775375366,0.0,0.0129960961639881,0.1750498045183071,0.9612428545951844,0.0,14.793429882536383,0.0372666666666666,27.0,0.1531386114716419,0.1624067441091252,0.176415226223278,0.043280763107912,0.0,0.0,0.9612428545951844,0.9885280287625718,0.0088528051851066,0.001426865991255,4.240018508271634e-15,45.2006075842916,True,,0.8777777777777778,0.8929012345679013,0.9027777777777778,0.959567901234568,0.8895061728395062,0.1478395061728395,0.8132716049382716,0.5688271604938272,0.4567901234567901,0.1438271604938271,5.0,normal,hs_normal,,normal,0.1750497241564455,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
5,HSN005,hs_expEbase_HSN005_005.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN005_005.wav,train,7.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01414.wav,normal_hard_quality_pool,0.7636358024691358,4000.0,15.0,False,0.0,e01414,-1,normal,training-e,2000.0,24.259,0.1418969516069109,0.8920464515686035,0.0,-0.0738702043890953,0.1435755174743263,0.8926073908805847,0.0,15.871601759623331,0.1755833333333333,27.0,0.1255224352126558,0.1352461462612259,0.145140702282327,0.0550476110618292,0.0,0.0,0.8926073908805847,0.991388291890975,0.0086016799864191,0.0001252643115029,5.230846916576041e-15,42.38019844364251,True,,0.8160493827160494,0.8432098765432099,0.9398148148148148,0.8774691358024691,0.894753086419753,0.5978395061728395,0.2052469135802469,0.5688271604938272,0.3978395061728395,0.2148148148148148,7.0,normal,hs_normal,,normal,0.14357533208627993,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
6,HSN006,hs_expEbase_HSN006_006.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN006_006.wav,train,8.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e02000.wav,normal_hard_quality_pool,0.7635586419753086,4000.0,15.0,False,0.0,e02000,-1,normal,training-e,2000.0,26.793,0.1607156282999466,0.9049940705299376,0.0,0.0004530310689006,0.1606860357453632,0.8687562942504883,0.0,14.658396547406948,0.1353333333333333,27.0,0.140331006956861,0.146926258462624,0.1646622467727159,0.0658326538175209,0.0,0.0,0.8687562942504883,0.9922061931249296,0.0074215461718671,0.0001360327961787,4.266750387072951e-15,39.953487444582606,True,,0.8530864197530864,0.8645061728395061,0.95,0.7549382716049383,0.908641975308642,0.5808641975308642,0.3169753086419753,0.5688271604938272,0.3481481481481481,0.1382716049382716,8.0,normal,hs_normal,,normal,0.1606860793644462,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
7,HSN007,hs_expEbase_HSN007_007.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN007_007.wav,train,10.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00088.wav,normal_hard_quality_pool,0.7606358024691358,4000.0,15.0,False,0.0,e00088,-1,normal,training-e,2000.0,44.974,0.1016184371650032,0.922761857509613,0.0,-0.0114117478951811,0.1117156062772429,0.92209130525589,0.0,18.33320159525026,0.05825,27.0,0.0963324842782516,0.1053825555521817,0.1130138299620118,0.0460579962693722,0.0,0.0,0.92209130525589,0.98309736073551,0.0167576506929792,0.0001137660303413,4.673791522769622e-15,77.01954184280089,True,,0.6947530864197531,0.7339506172839506,0.8484567901234568,0.945679012345679,0.8083333333333333,0.6172839506172839,0.6780864197530864,0.5688271604938272,0.9101851851851852,0.5598765432098766,10.0,normal,hs_normal,,normal,0.11171562577665979,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
8,HSN008,hs_expEbase_HSN008_008.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN008_008.wav,train,11.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00346.wav,normal_hard_quality_pool,0.7591111111111111,4000.0,15.0,False,0.0,e00346,-1,normal,training-e,2000.0,18.655,0.1768287355300801,0.9298417568206788,0.0,0.0131852515041828,0.1775149344987157,0.9297385215759276,0.0,14.382518570945209,0.0423333333333333,27.0,0.1547104588215761,0.1658616194284485,0.1793236116960654,0.0630843972096553,0.0,0.0,0.9297385215759276,0.9906129193593014,0.0073983648920404,0.0010563384497408,4.6963901152286456e-15,43.72163965889423,True,,0.8833333333333333,0.9003086419753087,0.9314814814814816,0.7904320987654321,0.9092592592592592,0.1922839506172839,0.7805555555555556,0.5688271604938272,0.4274691358024691,0.124074074074074,11.0,normal,hs_normal,,normal,0.17751490112335042,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
9,HSN009,hs_expEbase_HSN009_009.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN009_009.wav,train,13.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01265.wav,normal_hard_quality_pool,0.7559660493827159,4000.0,15.0,False,0.0,e01265,-1,normal,training-e,2000.0,27.197,0.1631285643251191,0.8898637890815735,0.0,0.0148637713864445,0.164240225422779,0.8281124830245972,0.0,14.052195971435866,0.0344833333333333,27.0,0.1496387973229792,0.1551530648269308,0.1628493784998512,0.045549871561358,0.0,0.0,0.8281124830245972,0.9872590086157,0.0097030029101622,0.0017428833209193,4.106218624365655e-15,45.69049463483496,True,,0.8598765432098765,0.8787037037037037,0.8895061728395062,0.9478395061728396,0.8787037037037037,0.1290123456790123,0.8280864197530864,0.5688271604938272,0.4691358024691358,0.1095679012345679,13.0,normal,hs_normal,,normal,0.16424019721356414,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
10,HSN010,hs_expEbase_HSN010_010.wav,/nas/home/pcallandrone/DeepLearning/dataset/EXP_G_40x40_SELECTED/HS_PHYSIONET_EXP_G_40x40/hs_expEbase_HSN010_010.wav,train,14.0,hs,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00252.wav,normal_hard_quality_pool,0.7558611111111111,4000.0,15.0,False,0.0,e00252,-1,normal,training-e,2000.0,27.684,0.1435047857707884,1.0007768869400024,1.8060973847709867e-05,0.0007769289077259,0.1461627063253988,0.9925506114959716,0.0,16.638321704366465,0.1006333333333333,27.0,0.1321310933371923,0.1356143966142459,0.1469527553757724,0.0437529029995496,0.0,0.0,0.9925506114959716,0.9812785175124424,0.018698619373286,0.0001594616912944,4.335422045985437e-15,43.85164995377798,True,,0.8228395061728395,0.8447530864197531,0.8333333333333334,0.957716049382716,0.7929012345679012,0.5456790123456791,0.4425925925925926,0.5688271604938272,0.4290123456790123,0.2981481481481481,14.0,normal,hs_normal,,normal,0.1461626818136772,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base_B_CLUSTER_2,,,,base_EXP_E_25x30,,,
