base_id,count,sum,mean
M0001,27,27,1.0
M0002,27,27,1.0
M0003,27,26,0.9629629629629629
M0004,27,4,0.14814814814814814
M0005,27,27,1.0
M0006,27,27,1.0
M0007,27,27,1.0
M0008,27,27,1.0
M0009,27,27,1.0
M0010,27,23,0.8518518518518519
M0011,27,27,1.0
M0012,27,27,1.0
M0013,27,27,1.0
M0014,27,27,1.0
M0015,27,26,0.9629629629629629
M0016,27,27,1.0
M0017,27,27,1.0
M0018,27,27,1.0
M0019,27,27,1.0
M0020,27,0,0.0
M0021,27,27,1.0
M0022,27,27,1.0
M0023,27,25,0.9259259259259259
M0024,27,20,0.7407407407407407
M0025,27,27,1.0
M0026,27,27,1.0
M0027,27,27,1.0
M0028,27,27,1.0
M0029,27,26,0.9629629629629629
M0030,27,27,1.0
M0031,27,27,1.0
M0032,27,27,1.0
M0033,27,25,0.9259259259259259
M0034,27,27,1.0
M0035,27,25,0.9259259259259259
M0036,27,21,0.7777777777777778
M0037,27,27,1.0
M0038,27,21,0.7777777777777778
M0039,27,26,0.9629629629629629
M0040,27,27,1.0
M0041,27,27,1.0
M0042,27,25,0.9259259259259259
M0043,27,26,0.9629629629629629
M0044,27,27,1.0
M0045,27,27,1.0
M0046,27,27,1.0
M0047,27,26,0.9629629629629629
M0048,27,27,1.0
M0049,27,27,1.0
M0050,27,27,1.0
M0051,27,27,1.0
M0052,27,27,1.0
M0053,27,27,1.0
M0054,27,27,1.0
M0055,27,27,1.0
M0056,27,27,1.0
M0057,27,22,0.8148148148148148
M0058,27,27,1.0
M0059,27,27,1.0
M0060,27,26,0.9629629629629629
M0061,27,27,1.0
M0062,27,27,1.0
M0063,27,19,0.7037037037037037
M0064,27,27,1.0
M0065,27,27,1.0
M0066,27,10,0.37037037037037035
M0067,27,27,1.0
M0068,27,26,0.9629629629629629
M0069,27,4,0.14814814814814814
M0070,27,27,1.0
M0071,27,26,0.9629629629629629
M0072,27,26,0.9629629629629629
M0073,27,24,0.8888888888888888
M0074,27,27,1.0
M0075,27,23,0.8518518518518519
M0076,27,24,0.8888888888888888
M0077,27,23,0.8518518518518519
M0078,27,26,0.9629629629629629
M0079,27,27,1.0
M0080,27,23,0.8518518518518519
M0081,27,24,0.8888888888888888
M0082,27,23,0.8518518518518519
M0083,27,27,1.0
M0084,27,27,1.0
M0085,27,27,1.0
M0086,27,27,1.0
M0087,27,27,1.0
M0088,27,27,1.0
M0089,27,27,1.0
M0090,27,27,1.0
M0091,27,27,1.0
M0092,27,21,0.7777777777777778
M0093,27,27,1.0
M0094,27,24,0.8888888888888888
M0095,27,24,0.8888888888888888
M0096,27,27,1.0
M0097,27,15,0.5555555555555556
M0098,27,12,0.4444444444444444
M0099,27,27,1.0
M0100,27,27,1.0
M0101,27,27,1.0
M0102,27,27,1.0
M0103,27,9,0.3333333333333333
M0104,27,26,0.9629629629629629
M0105,27,27,1.0
M0106,27,27,1.0
M0107,27,27,1.0
M0108,27,27,1.0
M0109,27,25,0.9259259259259259
M0110,27,27,1.0
