name,base_id,segment_index,source_m_path,teacher_ckpt,teacher_experiment,sr,segment_samples,pseudo_label_type,uses_real_v1_h_l_targets,apply_mixture_polarity_calibration,apply_mixture_gain_calibration,pre_mix_nmse,pre_mix_nmse_db,pre_mix_gain_error_db,pre_mix_gamma,pre_negative_mix_gamma,pre_mix_corr,polarity_flipped,mix_gamma_before_polarity,mix_corr_before_polarity,mix_gamma_after_polarity,mix_corr_after_polarity,gain_calibration_gamma,mix_nmse_db_before_gain,mix_corr_before_gain,mix_gain_error_db_before_gain,mix_nmse_db_after_gain,mix_corr_after_gain,mix_gain_error_db_after_gain,final_mix_nmse,final_mix_nmse_db,final_mix_gain_error_db,final_mix_gamma,final_negative_mix_gamma,final_mix_corr,rms_m,rms_h_pseudo,rms_l_pseudo,pseudo_h_over_l_snr_db,abs_pseudo_h_over_l_snr_db,pseudo_h_energy_fraction,pseudo_l_energy_fraction,pseudo_h_l_corr,abs_pseudo_h_l_corr,peak_m,peak_h_pseudo,peak_l_pseudo,confidence_pass,confidence_reason,all_m_pseudo_path,all_h_pseudo_path,all_l_pseudo_path,confident_m_pseudo_path,confident_h_pseudo_path,confident_l_pseudo_path
M0001_s000_orig,M0001,0,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.576464612453832,6.605301085258065,1.16429315021243,-0.8677117810648062,1.0,-0.9921793144570429,1.0,-0.8677117810648062,-0.9921793144570429,0.8677117810648062,0.9921793144570429,0.8677117810648062,-14.14979052082353,0.9921793144570429,1.16429315021243,-18.074267499288684,0.9921793144196918,-0.0681966053803388,0.01558020795504281,-18.074267499288684,-0.0681966053803388,0.9999999994335391,0.0,0.9921793144196918,0.17394041261813512,0.07994561915212818,0.1155524409181458,-3.1996890714729647,3.1996890714729647,0.32371383992880154,0.676285653579972,0.543425702297388,0.543425702297388,0.674279510974884,0.5963563323020935,0.451904296875,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s000_orig.wav
M0001_s001_orig,M0001,1,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.738466598502084,6.756378236255218,1.44572544749642,-0.8399571875095577,1.0,-0.9920725746913113,1.0,-0.8399571875095577,-0.9920725746913113,0.8399571875095577,0.9920725746913113,0.8399571875095577,-12.879989658871764,0.9920725746913113,1.44572544749642,-18.015626878266403,0.9920725747063325,-0.06913120147739728,0.015792006430615887,-18.015626878266403,-0.06913120147739728,1.0000000120373291,0.0,0.9920725747063325,0.17156394840992803,0.0713459184201515,0.1076613930849138,-3.573817243308255,3.573817243308255,0.305147846221131,0.6948515543025345,0.7998862896368354,0.7998862896368354,0.674279510974884,0.5521021485328674,0.39751726388931274,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s001_orig.wav
M0001_s002_orig,M0001,2,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.837756885897551,6.84644039766646,1.5866292329763128,-0.831632849436883,1.0,-0.9983047041103614,1.0,-0.831632849436883,-0.9983047041103614,0.831632849436883,0.9983047041103614,0.831632849436883,-13.542205596565708,0.9983047041103614,1.5866292329763128,-24.700927845438763,0.9983047040889491,-0.01473761801272181,0.0033877177174661526,-24.700927845438763,-0.01473761801272181,0.9999999969451818,0.0,0.9983047040889491,0.18088158552842787,0.0885269359336736,0.10128446682122731,-1.1693482684315049,1.1693482684315049,0.4330904022734008,0.5669090451052055,0.8092304249694874,0.8092304249694874,0.674279510974884,0.44668588042259216,0.39334413409233093,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s002_orig.wav
M0001_s003_orig,M0001,3,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,5.31804306143918,7.257518495938378,2.3256077173644716,-0.7638517581476933,1.0,-0.9983653525873625,1.0,-0.7638517581476933,-0.9983653525873625,0.7638517581476933,0.9983653525873625,0.7638517581476933,-10.064273643952275,0.9983653525873625,2.3256077173644716,-24.859010245708507,0.998365352569944,-0.014209923934021412,0.003266622698080871,-24.859010245708507,-0.014209923934021412,0.9999999936158381,0.0,0.998365352569944,0.1668419675618506,0.08697277368416875,0.08686188995676115,0.011080919413556125,0.011080919413556125,0.5006375373053794,0.4993618008488951,0.83631527871824,0.83631527871824,0.6034039855003357,0.40351948142051697,0.33321183919906616,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s003_orig.wav
M0001_s004_orig,M0001,4,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.981839063631912,6.973896937132272,1.8212948181101243,-0.8089533673999821,1.0,-0.9976730789435094,1.0,-0.8089533673999821,-0.9976730789435094,0.8089533673999821,0.9976730789435094,0.8089533673999821,-12.206693100881987,0.9976730789435094,1.8212948181101243,-23.326939489915112,0.997673078984408,-0.020235169746559013,0.004648427384503666,-23.326939489915112,-0.020235169746559013,1.0000000283035766,0.0,0.997673078984408,0.1712286906841647,0.09573266018008703,0.08228591954839687,1.314692006366978,1.314692006366978,0.5751067084213397,0.42489266405778253,0.8408359753026492,0.8408359753026492,0.7451550364494324,0.5405870676040649,0.3618158996105194,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s004_orig.wav
M0001_s005_orig,M0001,5,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.570062008714733,6.599220928181955,1.1296689210302087,-0.8761914127551914,1.0,-0.9978894993141512,1.0,-0.8761914127551914,-0.9978894993141512,0.8761914127551914,0.9978894993141512,0.8761914127551914,-16.18002221125486,0.9978894993141512,1.1296689210302087,-23.750430422089632,0.9978894992987563,-0.018350700942970484,0.004216547118554442,-23.750430422089632,-0.018350700942970484,0.9999999721743799,0.0,0.9978894992987563,0.18801114741808636,0.09717609371921446,0.09976389513577745,-0.2282791974147373,0.2282791974147373,0.4868619667814601,0.5131375176493284,0.815043307564095,0.815043307564095,0.9419664144515991,0.5410041809082031,0.5212462544441223,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s005_orig.wav
M0001_s006_orig,M0001,6,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.422125738820862,6.456310871571446,0.8679514683922083,-0.9011053717236238,1.0,-0.9958023873368467,1.0,-0.9011053717236238,-0.9958023873368467,0.9011053717236238,0.9958023873368467,0.9011053717236238,-16.920474075656756,0.9958023873368467,0.8679514683922083,-20.768800953163314,0.9958023872478081,-0.03653700607977258,0.008377605481275396,-20.768800953163314,-0.03653700607977258,1.0000000320042923,0.0,0.9958023872478081,0.18858778488930933,0.09173310879451525,0.1099276591572436,-1.5716173645119966,1.5716173645119966,0.4105047652728118,0.5894947469000246,0.7322669897616327,0.7322669897616327,0.9419664144515991,0.6376713514328003,0.6076050400733948,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s006_orig.wav
M0001_s007_orig,M0001,7,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.119940212632506,6.148909137243507,0.2734123775788594,-0.9647888714374852,1.0,-0.9956413098553821,1.0,-0.9647888714374852,-0.9956413098553821,0.9647888714374852,0.9956413098553821,0.9647888714374852,-19.991856485093958,0.9956413098553821,0.2734123775788594,-20.60561517188725,0.9956413098142249,-0.037941988134949235,0.008698382130066991,-20.60561517188725,-0.037941988134949235,1.0000000169216117,0.0,0.9956413098142249,0.20186897540616225,0.09696092675705782,0.11915260881374795,-1.7901359539279826,1.7901359539279826,0.3983859804806949,0.601613595768505,0.7269825389455078,0.7269825389455078,0.9419664144515991,0.6154041886329651,0.5830773711204529,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s007_orig.wav
M0001_s008_orig,M0001,8,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.2652678382342115,6.299463079572103,0.5801039479070936,-0.9284939528705571,1.0,-0.9926228857209496,1.0,-0.9284939528705571,-0.9926228857209496,0.9284939528705571,0.9926228857209496,0.9284939528705571,-16.873231359253012,0.9926228857209496,0.5801039479070936,-18.326883841513627,0.9926228858472043,-0.06431406654934291,0.014699806427957962,-18.326883841513627,-0.06431406654934291,0.9999999728375024,0.0,0.9926228858472043,0.1970071932231105,0.10165323541746735,0.1102746113557968,-0.7070865988848808,0.7070865988848808,0.459386294757273,0.5406132606773643,0.7023989971584078,0.7023989971584078,0.9419664144515991,0.478113055229187,0.6434251070022583,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s008_orig.wav
M0001_s009_orig,M0001,9,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0001_s009_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.780667866111086,6.794885724082512,1.4938411113885328,-0.8401529913608361,1.0,-0.9978159760718477,1.0,-0.8401529913608361,-0.9978159760718477,0.8401529913608361,0.9978159760718477,0.8401529913608361,-13.935759121218535,0.9978159760718477,1.4938411113885328,-23.601871338144228,0.9978159760721291,-0.0189910707851937,0.00436327781782279,-23.601871338144228,-0.0189910707851937,1.000000016116436,0.0,0.9978159760721291,0.17971885255207595,0.10089625528630608,0.09097661090308015,0.8989058726140295,0.8989058726140295,0.5515609360235476,0.4484385221709588,0.7463157994137032,0.7463157994137032,0.7439835667610168,0.4298417568206787,0.38384971022605896,True,OK,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0001_s009_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0001_s009_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0001_s009_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/M_M0001_s009_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/H_M0001_s009_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/confident/L_M0001_s009_orig.wav
